Wavelength (nm),Channel 1 power (dBm)
1540.0,-53.5896138387815
1540.1,-52.37782556692071
1540.2,-55.96051444287956
1540.3,-59.04033510107954
1540.4,-58.801843109852754
1540.5,-54.363497329053246
1540.6,-54.65972532648674
1540.7,-56.319651161942225
1540.8,-58.099342527218894
1540.9,-55.995129357009226
1541.0,-54.855679750104976
1541.1,-56.793890658809616
1541.2,-59.888576425286324
1541.3,-59.680738986986015
1541.4,-56.04754992778294
1541.5,-54.815773228773416
1541.6,-59.93137732519994
1541.7,-59.846193687747665
1541.8,-57.61926102913759
1541.9,-56.17241662292274
1542.0,-56.49147637589431
1542.1,-59.29271489309217
1542.2,-57.54416128533638
1542.3,-54.95023961590162
1542.4,-54.52144076835877
1542.5,-58.5132613969131
1542.6,-61.10968295144378
1542.7,-57.59407711273547
1542.8,-58.36086196849257
1542.9,-56.01252830793343
1543.0,-59.25574285712056
1543.1,-62.81463944270701
1543.2,-61.46202818679785
1543.3,-56.589959766146116
1543.4,-56.433438441138186
1543.5,-60.062306545352314
1543.6,-70.94472598749194
1543.7,-59.21908247834568
1543.8,-54.57122207003248
1543.9,-56.986001625026276
1544.0,-69.56134695581801
1544.1,-65.82511777348446
1544.2,-56.81482659628708
1544.3,-54.73705317636653
1544.4,-58.421198696984966
1544.5,-63.84689963019001
1544.6,-63.16224578988446
1544.7,-56.319651161942225
1544.8,-55.48745222210189
1544.9,-61.58611370215329
1545.0,-63.253708032239516
1545.1,-62.898936989561804
1545.2,-56.81482659628708
1545.3,-55.48745222210189
1545.4,-58.36086196849257
1545.5,-61.649534706421136
1545.6,-59.14670340593595
1545.7,-55.612890574415
1545.8,-56.28236209239243
1545.9,-57.67005263606012
1546.0,-58.39092555096975
1546.1,-56.899578357588865
1546.2,-56.5305992971896
1546.3,-55.90911579103639
1546.4,-58.83513204607447
1546.5,-58.801843109852754
1546.6,-57.77345340897399
1546.7,-55.92618532825399
1546.8,-58.15611014392818
1546.9,-56.752334219192406
1547.0,-57.6445736047969
1547.1,-57.85266203935217
1547.2,-57.747380977332995
1547.3,-63.95409670483974
1547.4,-63.742210987440174
1547.5,-58.30137258720087
1547.6,-57.25611250626601
1547.7,-58.73604416116508
1547.8,-59.329977991694165
1547.9,-57.960578457642384
1548.0,-57.23296023548619
1548.1,-65.50327123632738
1548.2,-58.5757689300639
1548.3,-58.63916636013019
1548.4,-64.65997106461371
1548.5,-65.50327123632738
1548.6,-58.5132613969131
1548.7,-59.680738986986015
1548.8,-63.072732700709466
1548.9,-60.38418231038087
1549.0,-61.523650049498386
1549.1,-61.523650049498386
1549.2,-61.34138975016353
1549.3,-58.15611014392818
1549.4,-62.73188822997668
1549.5,-68.51379248939358
1549.6,-59.40553145416041
1549.7,-56.49147637589431
1549.8,-56.319651161942225
1549.9,-66.75273237691374
1550.0,-62.984965534816915
1550.1,-56.082868402358166
1550.2,-55.39570356572956
1550.3,-56.570092270550646
1550.4,-58.04330767350902
1550.5,-56.136365001627695
1550.6,-55.628832228116636
1550.7,-57.02986684609003
1550.8,-56.9425750310364
1550.9,-57.2099139906083
1551.0,-54.09740203280985
1551.1,-53.66007365455169
1551.2,-55.808120292399046
1551.3,-60.106862802205214
1551.4,-54.08619123517431
1551.5,-52.707233558019
1551.6,-53.471433259000406
1551.7,-55.808120292399046
1551.8,-57.05197480170006
1551.9,-54.00853942886264
1552.0,-52.723559298239586
1552.1,-54.711117662172526
1552.2,-57.05197480170006
1552.3,-54.37544832546858
1552.4,-51.912703341017725
1552.5,-53.356377334024515
1552.6,-55.14577960937605
1552.7,-55.90911579103639
1552.8,-53.63982147202193
1552.9,-51.94676554406824
1553.0,-52.94159146056921
1553.1,-55.36553545980966
1553.2,-55.32069430281851
1553.3,-53.89996086278549
1553.4,-52.1713265401647
1553.5,-52.423377816908214
1553.6,-53.67022830485234
1553.7,-55.11730340393005
1553.8,-55.42607159561629
1553.9,-52.98480447091415
1554.0,-52.85643360102705
1554.1,-53.67022830485234
1554.2,-55.67700062218969
1554.3,-54.75006974323457
1554.4,-53.38485671261058
1554.5,-53.52028545020112
1554.6,-53.55976386547145
1554.7,-54.423566290252474
1554.8,-53.15305613332522
1554.9,-53.31869731522098
1555.0,-52.98480447091415
1555.1,-53.207566605120434
1555.2,-53.356377334024515
1555.3,-54.52144076835877
1555.4,-53.225896492584866
1555.5,-53.281334423581434
1555.6,-53.711107342475
1555.7,-53.4423823613702
1555.8,-52.650564147393276
1555.9,-53.80450393607119
1556.0,-54.49676682630222
1556.1,-53.99755541265321
1556.2,-53.216721878440666
1556.3,-52.570875530435785
1556.4,-53.97567854025634
1556.5,-56.17241662292274
1556.6,-54.04165136291219
1556.7,-53.41352408156551
1556.8,-52.4540189217004
1556.9,-53.471433259000406
1557.0,-56.96422661160323
1557.1,-54.86906679221963
1557.2,-53.742011883327336
1557.3,-52.96746893081321
1557.4,-55.03296808394516
1557.5,-56.100623159901176
1557.6,-56.319651161942225
1557.7,-53.13503723013925
1557.8,-52.97612518575895
1557.9,-58.331026094055815
1558.0,-56.87823088013865
1558.1,-54.88248603077058
1558.2,-53.69061589086063
1558.3,-54.47223227485392
1558.4,-60.33670384694158
1558.5,-58.01554927982301
1558.6,-55.089012684133
1558.7,-53.29997899064619
1558.8,-62.984965534816915
1558.9,nan
1559.0,-59.182755311742426
1559.1,-56.570092270550646
1559.2,-55.06089488202406
1559.3,-62.6507420409084
1559.4,-62.340358107125475
1559.5,-60.73180060645797
1559.6,-55.67700062218969
1559.7,-55.50293954412605
1559.8,nan
1559.9,-61.34138975016353
1560.0,-63.84689963019001
1560.1,-58.07122482471854
1560.2,-58.60734075964181
1560.3,-60.243309651412886
1560.4,-58.54440287728121
1560.5,-60.7838281587711
1560.6,-58.331026094055815
1560.7,-66.75273237691374
1560.8,-58.9365339680013
1560.9,-64.53403833997157
1561.0,-62.898936989561804
1561.1,-66.5506247891923
1561.2,-72.98670013946324
1561.3,-56.570092270550646
1561.4,-61.10968295144378
1561.5,-64.41174051452842
1561.6,nan
1561.7,-66.75273237691374
1561.8,-59.40553145416041
1561.9,-62.81463944270701
1562.0,-59.521328940767305
1562.1,nan
1562.2,-59.25574285712056
1562.3,-60.33670384694158
1562.4,-59.888576425286324
1562.5,-64.41174051452842
1562.6,nan
1562.7,-60.6296150460411
1562.8,-61.58611370215329
1562.9,-62.984965534816915
1563.0,-60.99832569797576
1563.1,-66.9647064685812
1563.2,-58.90246134075938
1563.3,-60.28977232146822
1563.4,-58.421198696984966
1563.5,nan
1563.6,-59.846193687747665
1563.7,nan
1563.8,nan
1563.9,-60.9437194509949
1564.0,-62.898936989561804
1564.1,-60.48069061491378
1564.2,-63.072732700709466
1564.3,-59.888576425286324
1564.4,-61.22401172208596
1564.5,nan
1564.6,nan
1564.7,nan
1564.8,-76.96919893076684
1564.9,-61.34138975016353
1565.0,-59.804250085865505
1565.1,-60.33670384694158
1565.2,nan
1565.3,-61.28228330311896
1565.4,-60.19733829721672
1565.5,-57.77345340897399
